amino_acid;acronym;type;linearity_bottom;linearity_top;reference_range_bottom_dewasa;reference_range_up_dewasa;result_low;result_high;result_optimal;reference_range_bottom_anak_1;reference_range_up_anak_1;reference_range_bottom_anak_2;reference_range_up_anak_2;reference_range_bottom_anak_3;reference_range_up_anak_3
Serine;SER;non-essential;7.8;1000;58;181;"Your serine level seems low. Low serine can cause disruptions in the methionine metabolism and impairments in the production of acetylcholine that will reduces your ability to remember. Supplementation with vitamin B6, folate, and manganese is recommended when high levels of threonine are present at the same time. In women, this condition also manifested itself during the second half of the menstrual cycle.";Your serine level seems high. The presence of glucogenic compensation and catabolism was indicated by the simultaneous high levels of serine and low levels of threonine. Supplementing with threonine could be beneficial.;"Your Serine level seems optimal, keep going with balance protein intake. Multi vitamin and mineral supplementation should be beneficial.";111;426;120;450;120;450
Glycine;GLY;non-essential;15.6;1000;151;490;"Your glycine level seems low. Low glycine caused general tissue loss and decrease nitrogen pool. Low glycine associated with obesity and diabetes mellitus, which are both caused by increased gluconeogenesis and tissue loss. Always check your BMI, waist circumeference and the other diabetes mellitus risk factors. The addition of glycine to your diet would be beneficial.";"Your glycine level seems high. For the effective conversion of glycine to pyruvic acid, supplementation with vitamins B5, folic acid, and vitamins B6, and B2 can help to reduce high levels of glycine. Renal dysfunction is associated with high levels of glycine as well. Always check your renal function.";"Your Threonine level seems optimal, keep going with balance protein intake. Multi vitamin and mineral supplementation should be beneficial.";5;50;7;50;7;70
Cystine;CYS;non-essential;3.9;500;5;82;Your cystine level seems low. Low cystine is caused by a methionine deficiency in the diet and also caused by low serine. Low cystine levels can cause respiratory distress when exposed to oxygen and also lowering your endogenous antioxidant activity. High methionine food intake would be beneficial for your health.;Your cystine level seems high. High cystine levels are caused by an excessive dietary intake or a defect in cystine metabolism.  Cystine plays an important role in tissue antioxidant mechanisms. High cystine levels have also been linked to renal disease. Always check your renal function.;"Your Cystine level seems optimal, keep going with balance protein intake. ";62;620;74;266;74;266
Glutamic Acid;GLU;non-essential;7.8;1000;10;131;"Your glutamic acid seems low. Low glutamic acid levels can indicate mild hyperammonemia, especially if glutamine levels are high. Low protein, high complex carbohydrate, Vitamin B6, alpha-ketoglutarate, and branched chain amino acids (BCAAs).";Your glutamic acid seems high. High glutamic acid levels may cause underconversion to alpha-ketoglutarate in the liver. This condition also caused by high histidine levels. Niacin and Vitamin B6 may help.;"Your Glutamic Acid level seems optimal, keep going with balance protein intake. Multi vitamin supplementation should be beneficial.";131;710;208;588;208;588
Alanine;ALA;non-essential;15.6;1000;177;583;Your alanine level seems low. Low alanine may indicate hypoglycemia caused by prolonged heavy exercise and ketotic hypoglycemia. Supplementation with alanine and the branched chain amino acids (BCAAs).;Your glutamic acid seems high. High glutamic acid levels may cause underconversion to alpha-ketoglutarate in the liver. This condition also caused by high histidine levels. Niacin and Vitamin B6 may help.;"Your Glutamic Acid level seems optimal, keep going with balance protein intake. Multi vitamin supplementation should be beneficial.";85;303;80;400;80;400
Proline;PRO;non-essential;15.6;1000;97;329;"Your proline level seems low. Low proline may indicate an issue with the synthesis of connective tissue. Proline is one of the most important components of collagen and is metabolized to form beta-ketoglutarate. In women, it occurred during the second half of the menstrual cycle as well. Be sure your diet includes plenty of high-quality protein.";"Your proline level seems high. A high proline level may be an indicator of poor utilization. If the neurological symptoms are present, you should take vitamin C and Vitamin B3 to improve this conditions.";"Your Proline level seems optimal, keep going with balance protein intake. Multi vitamin supplementation should be beneficial.";27;187;30;140;30;120
Tyrosine;TYR;non-essential;15.6;1000;34;112;"Your tyrosine level seems low. Low tyrosine levels have been linked to depression as well as hypothyroidism and blood pressure disorders. Infection is also associated with low tyrosine levels. Supplementing with iron, vitamin C, and vitamin B3 may help balancing tyrosine and phenylalanine level. ";"Your tyrosine level seems high. A high level of tyrosine may be an indication of insufficient utilization. This condition associated with obesity and hepatic disease. Supplements of vitamin C, vitamin B6, iron, and copper might be beneficial.";"Your Tyrosine level looks optimal, keep going with balance protein intake. Multi vitamins and minerals supplementation should be beneficial.";5;50;5;50;10;60
Glutamine;GLN;non-essential;3.9;1000;372.8;701.4;Your glutamine level seems low. Consumption or absorption of necessary amino acids is inadequate due to low glutamine levels (glutamine is derived from histidine). Conduct an analysis of the diet's overall amino acid content.;"Your glutamine level seems high. An elevated level of glutamine is indicative of a lack of vitamin B6. If glutamic acid levels are low or normal, it raises suspicions of an ammonia buildup. Beta-ketoglutarat supplementation can reduce hazardous accumulation of ammonia.";"Your Glutamine level seems optimal, keep going with balance protein intake. Vitamin beta-ketoglutarat supplementation should be beneficial.";30;200;20;160;20;135
Citrulline;CIT;derivatives;3.9;1000;12;55;Your citrulline level seems low. A deficiency in delta-1-pyrroline-5-carboxylate synthase enzyme as well as abnormalities of the respiratory chain may contribute to low citrulline levels. Low citrulline level also as an indicator of acute or chronic intestinal insufficiency.;"Your citrulline level seems high. High citrulline level can lead to accumulation of ammonia.To resolve this problem, magnesium and aspartic acid should be taken as supplementation. In ammonia toxicities, it is hypothesized that a lower protein consumption might be beneficial. High citrulline levels also indicator of renal failure. Always check your renal function.";"Your Citrulline level seems optimal, keep going with balance protein intake. Multi vitamins and minerals supplementation should be beneficial.";23.5;93;23.5;93;23.5;93
Ornithine;ORN;derivatives;15.6;1000;48;195;"Your ornithine level seems low. Low Ornithine could be the result of low arginine. Since Citrulline is derived from ornithine, low ornithine indirectly contribute to intestinal insufficiency. Menstruation is another time that this condition may occur in women.";Your ornitihne level seems high. High ornithine level can lead to ammonia accumulation when accompanied by low level of glutamic acid. Hepatic disease is also associated with high ornithine levels. ;"Your Ornitihine level seems optimal, keep going with balance protein intake.";372.8;701.4;372.8;701.4;372.8;701.4
